n_words,stem_words,threshold,TOP_N,queries,match,TP,FP,FN,TN,TP_asin,FN_asin,FP_asin,TN_asin,accuracy,Precision,Recall,accuracy_asin,Precision_asin,Recall_asin,F1,F1_asin
4.0,4.0,0.14,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.15,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.16,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.17,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.18,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.19,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.2,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.21,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.22,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.23,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.24,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.25,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.26,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.27,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.28,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.29,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
